   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-11>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        6    0.000    0.000    0.003    0.000 <decorator-gen-1>:1(non_reentrant)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        3    0.000    0.000    0.001    0.000 <decorator-gen-8>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
  119/118    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap>:1043(__import__)
     2059    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap>:119(release)
     1250    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:159(__init__)
     1250    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap>:163(__enter__)
     1250    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:170(__exit__)
     2059    0.009    0.000    0.013    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
     1452    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:190(cb)
      809    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
  1432/17    0.002    0.000    1.702    0.100 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
     1041    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
     1042    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:310(__init__)
     1042    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:314(__enter__)
     1042    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap>:321(__exit__)
     4166    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
      914    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1182    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(__init__)
     1949    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap>:406(cached)
     1042    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:419(parent)
     1042    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
     1042    0.008    0.000    0.035    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
1043/1009    0.003    0.000    0.283    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:630(_load_backward_compatible)
